Order_Number,Seed_Company,Variety,Crop,Size,Quantity,Organic,At_Kretschmanns
Order Number,Seed Company,Variety,Description,Size,Quantity,Organic,Planted at Kretschmanns
5278833,Johnny's,Javelin,Pelleted (F1) Parsnip,"25,000 Seeds",1,,
5278833,Johnny's,Matador,Organic (F1) Shallot,"5,000 Seeds",1,☑,
5278833,Johnny's,Picolino,Organic (F1) Cucumber,250 Seeds,1,☑,
5249757,Johnny's,Muir,Organic Pelleted Lettuce,"5,000 Seeds",1,☑,
5249757,Johnny's,Patterson,(F1) Onion Seed,"5,000 Seeds",1,,
5249757,Johnny's,Expression,Pelleted (F1) Onion Seed,"5,000 Seeds",2,,
5249757,Johnny's,Thanos,(F1) Eggplant Seed,250 Seeds,1,,
5249757,Johnny's,Rosa Bianca,Organic Eggplant Seed,250 Seeds,1,☑,
5249757,Johnny's,Gaudi,Organic (F1) Eggplant,250 Seeds,1,☑,
5249757,Johnny's,Bandit,Organic Leek Seed,"5,000 Seeds",1,☑,
5189279,Johnny's,Tokyo Bekana,(F1) Asian Green Seed,1/4 Pound,1,,
5189279,Johnny's,Mizuna,Organic Asian Green,1/4 Pound,1,☑,
5189279,Johnny's,Esmee,Organic Salad Arugula,1 Pound,1,☑,
5187847,Johnny's,Staro,Chive Seed,1 Ounce,1,,
5187847,Johnny's,Dolores,Chive Seed,1 Ounce,1,,
5187847,Johnny's,French Breakfast,Radish Seed,1 Pound,1,,
5187847,Johnny's,Hakurei,(F1) Turnip Seed,1/4 Pound,1,,
5187847,Johnny's,Napoli,Organic (F1) Carrot Seed,"25,000 Seeds",2,☑,
5187847,Johnny's,Dragon's Tongue,Bean Seed,"1,000 Seeds",2,,
5187847,Johnny's,Balena,Organic (F1) Celeriac Seed,"1,000 Seeds",1,☑,
5187847,Johnny's,Robust 997,(F1) Corn Seed,1 Pound,1,,
5187847,Johnny's,Corinto,Organic (F1) Cucumber Seed,250 Seeds,1,☑,
5187847,Johnny's,Cherokee,Pelleted Lettuce Seed,"5,000 Seeds",1,,
5187847,Johnny's,Adriana,Pelleted Lettuce Seed,"1,000 Seeds",1,,
5187847,Johnny's,Newham,Organic Pelleted Lettuce Seed,"5,000 Seeds",1,☑,
5187847,Johnny's,Gypsy,(F1) Broccoli Seed,"1,000 Seeds",1,,
5187847,Johnny's,Amadeus,(F1) Broccoli Seed,Packet,3,,
5187847,Johnny's,Alcosa,(F1) Cabbage Seed,"1,000 Seeds",1,,
5187847,Johnny's,Farao,Organic (F1) Cabbage Seed,"1,000 Seeds",1,☑,
5187847,Johnny's,Minuet,(F1) Chinese Cabbage Seed,"1,000 Seeds",1,,
5187847,Johnny's,Timeless Mix,Ageratum Seed,"1,000 Seeds",1,,
5187847,Johnny's,Fairy Tale,(F1) Eggplant Seed,250 Seeds,1,,
5187847,Johnny's,Fairy Tale,(F1) Eggplant Seed,100 Seeds,1,,
5187847,Johnny's,Orient Express,(F1) Eggplant Seed,250 Seeds,1,,
5187847,Johnny's,Annina,Organic (F1) Eggplant Seed,250 Seeds,1,☑,
5187847,Johnny's,Black Magic,Organic Kale Seed,"1,000 Seeds",1,☑,
5187847,Johnny's,Potomac Lavender,(F1) Snapdragon Seed,500 Seeds,1,,
5187847,Johnny's,Opus™ III Early Bronze,(F1) Snapdragon Seed,500 Seeds,1,,
5187847,Johnny's,Brocanto,(F1) Bell Pepper Seed,100 Seeds,1,,
5187847,Johnny's,Space,(F1) Spinach Seed,"25,000 Seeds",1,,
5187847,Johnny's,Auroch,(F1) Spinach Seed,"10,000 Seeds",1,,
5187847,Johnny's,Dunja,Organic (F1) Zucchini Squash,250 Seeds,1,☑,
5187847,Johnny's,Zephyr,(F1) Yellow Summer Squash Seed,250 Seeds,1,,
5187847,Johnny's,Pantheon,(F1) Zucchini Squash Seed,250 Seeds,1,,
5187847,Johnny's,Y-Star,Organic (F1) Patty Pan Squash,250 Seeds,1,☑,
5187847,Johnny's,Potomac Yellow,(F1) Snapdragon Seed,500 Seeds,1,,
5187847,Johnny's,Black Cherry,Organic Tomato Seed,250 Seeds,1,☑,
5187847,Johnny's,Blush,Organic Tomato Seed,250 Seeds,1,☑,
5187847,Johnny's,Potomac Red,(F1) Snapdragon Seed,250 Seeds,2,,
5187847,Johnny's,Sakura,Organic (F1) Tomato Seed,250 Seeds,1,☑,
5187847,Johnny's,Juliet,(F1) Tomato Seed,250 Seeds,1,,
5187847,Johnny's,BHN 589,(F1) Tomato Seed,250 Seeds,1,,
5187847,Johnny's,Celebrity Plus,(F1) Tomato Seed,250 Seeds,1,,
5187847,Johnny's,Pink Wonder,(F1) Tomato Seed,100 Seeds,1,,
5187847,Johnny's,Clementine,Organic (F1) Tomato Seed,100 Seeds,1,☑,
5187847,Johnny's,Kakao,(F1) Tomato Seed,50 Seeds,1,,
5187847,Johnny's,Margold,(F1) Tomato Seed,100 Seeds,1,,
5187847,Johnny's,Marnero,(F1) Tomato Seed,100 Seeds,1,,
5187847,Johnny's,Granadero,Organic (F1) Tomato Seed,250 Seeds,1,☑,
5187847,Johnny's,Cannes Light Bronze II–III,(F1) Snapdragon Seed,"1,000 Seeds",1,,
5187847,Johnny's,Honeynut,Organic Butternut Squash Seed,250 Seeds,1,☑,
5187847,Johnny's,Pinnacle,(F1) Spaghetti Squash Seed,250 Seeds,1,,
5187847,Johnny's,Sunshine,Organic (F1) Kabocha Squash Seed,Packet,1,☑,
5187847,Johnny's,Sunshine,Organic (F1) Kabocha Squash Seed,100 Seeds,1,☑,
5187847,Johnny's,Delicata JS,Organic Delicata Squash Seed,1 Ounce,1,☑,
5187847,Johnny's,New England Pie,Organic Pumpkin Seed,1 Ounce,1,☑,
5187847,Johnny's,Long Island Cheese,Pumpkin Seed,1/4 Pound,1,,
5187847,Johnny's,Honey Bear,(F1) Acorn Squash Seed,250 Seeds,1,,
5187847,Johnny's,Winter Sweet,Organic (F1) Kabocha Squash Seed,250 Seeds,1,☑,
5187847,Johnny's,Dark Belle,(F1) Watermelon Seed,1/4 Ounce,1,,
5187847,Johnny's,Sarah's Choice,(F1) Melon Seed,250 Seeds,1,,
5187847,Johnny's,Jambalaya 2.0,(F1) Okra Seed,250 Seeds,1,,
5187847,Johnny's,Carmine Splendor,(F1) Okra Seed,250 Seeds,1,,
5187847,Johnny's,Salanova® Green Butter,Pelleted Lettuce Seed,"5,000 Seeds",1,,
5187847,Johnny's,Salanova® Green Sweet Crisp,Pelleted Lettuce Seed,"5,000 Seeds",1,,
5187847,Johnny's,Salanova® Red Sweet Crisp,Pelleted Lettuce Seed,"1,000 Seeds",1,,
5187847,Johnny's,Salanova® Red Tango,Pelleted Lettuce Seed,"5,000 Seeds",1,,
5187847,Johnny's,Salanova® Red Butter,Pelleted Lettuce Seed,"1,000 Seeds",1,,
5187847,Johnny's,Frosted Explosion,Ornamental Grass Seed,500 Seeds,1,,
5187847,Johnny's,QIS™ Pink,Gomphrena Seed,250 Seeds,1,,
5187847,Johnny's,Preludio,Organic (F1) Fennel Seed,"1,000 Seeds",2,☑,
5187847,Johnny's,Muir,Organic Pelleted Lettuce Seed,"1,000 Seeds",2,☑,
5187847,Johnny's,Panisse,Pelleted Lettuce Seed,Packet,2,,
117759,Welter Seed and Honey Co.,Medium Red Clover,Uncertified Organic,1 Unit,1,☑,
117759,Welter Seed and Honey Co.,Hairy Vetch,Certified Organic,100 Lb,1,☑,
117759,Welter Seed and Honey Co.,Jerry Oats,Certified Organic N/C,1.5 Bu,1,☑,
117759,Welter Seed and Honey Co.,Winter Rye,Certified Organic,10 Bu,1,☑,
117759,Welter Seed and Honey Co.,Austrian Winter Peas,Certified Organic,4 Units,1,☑,
