Date,Transaction Type,Total Sales,Amount,Transfer Date,Status,Balance
2025-09-23,payment,$248.00 USD,-$42.16 USD,2025-09-24,completed,"$15,503.19 USD"
2025-09-24,payment,"",$0.00 USD,2025-09-25,completed,"$15,503.19 USD"
2025-09-25,payment,"",$0.00 USD,2025-09-28,completed,"$15,503.19 USD"
2025-09-26,payment,$264.00 USD,-$44.88 USD,2025-09-29,completed,"$15,458.31 USD"
2025-09-27,payment,"$1,221.00 USD",-$207.57 USD,2025-09-30,completed,"$15,250.74 USD"
2025-09-28,payment,"",$0.00 USD,2025-09-30,completed,"$15,250.74 USD"
2025-09-29,payment,"",$0.00 USD,2025-09-30,completed,"$15,250.74 USD"
2025-09-30,payment,$571.00 USD,-$97.07 USD,2025-10-01,completed,"$15,153.67 USD"
2025-10-01,payment,"",$0.00 USD,2025-10-02,completed,"$15,153.67 USD"
2025-10-02,payment,"",$0.00 USD,2025-10-05,completed,"$15,153.67 USD"
2025-10-03,payment,$285.00 USD,-$48.45 USD,2025-10-06,completed,"$15,105.22 USD"
2025-10-04,payment,"$1,191.00 USD",-$202.47 USD,2025-10-07,completed,"$14,902.75 USD"
2025-10-05,payment,$504.00 USD,-$85.68 USD,2025-10-07,completed,"$14,817.07 USD"
2025-10-06,payment,"",$0.00 USD,2025-10-07,completed,"$14,817.07 USD"
2025-10-07,payment,$344.00 USD,-$58.48 USD,2025-10-08,completed,"$14,758.59 USD"
2025-10-08,payment,"",$0.00 USD,2025-10-09,completed,"$14,758.59 USD"
2025-10-09,payment,"",$0.00 USD,2025-10-13,completed,"$14,758.59 USD"
2025-10-10,payment,$221.00 USD,-$37.57 USD,2025-10-14,completed,"$14,721.02 USD"
2025-10-11,payment,$950.00 USD,-$161.50 USD,2025-10-15,completed,"$14,559.52 USD"
2025-10-12,payment,$495.00 USD,-$84.15 USD,2025-10-15,completed,"$14,475.37 USD"
2025-10-13,payment,"",$0.00 USD,2025-10-15,completed,"$14,475.37 USD"
